Title,Named-entity,Sentence
Microsoft,ISIN,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,US5949181045,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,Unbulleted,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,Unbulleted,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,Bill Gates,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,One,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,WayRedmond,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,Washington,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,U.S.,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,Azure Bing,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,MSDN Microsoft,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,OneDrive,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,TechNet,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,2021,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,2021,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,2021,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,2021,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,2021,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,2021,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,LinkedIn Skype Technologies,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
Microsoft,RiskIQ Nuance Communications,"logo_caption  Logo since 2012 image  building92microsoft.jpg image_size  260px image_caption  Building 92 on the Microsoft Redmond campus type  Public traded_as   Nasdaq-100 component DJIA component S&P 100 component S&P 500 component ISIN  US5949181045 industry  Unbulleted list Software development Computer hardware Consumer electronics Social networking service Cloud computing Video games Internet Corporate venture capital predecessor  Traf-O-Data founded   founders  Unbulleted list Bill Gates Paul Allen hq_location  One Microsoft WayRedmond, Washington hq_location_country  U.S. area_served  Worldwide key_people   brands   Windows Office Servers Skype Visual Studio Dynamics Xbox Surface Mobile services   Azure Bing LinkedIn Yammer MSDN Microsoft 365 OneDrive Outlook.com GitHub TechNet Pay Microsoft Store Windows Update Xbox Game Pass Xbox network revenue   (2021) operating_income   (2021) net_income   (2021) assets   (2021) equity   (2021) num_employees   (Q2 2021) divisions  Microsoft Gaming subsid   LinkedIn Skype Technologies GitHub RiskIQ Nuance Communications website  Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services."
